Country Name,"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Nicaragua,0.010520846783744098,-12.569787760901024,0.5428131123649713,1.0167412437485108,15.598842038919967
Nigeria,-2.126306883160878,0.9009323796497053,0.5853590843904226,-2.7829566082385053,1.2552035602667821
North Macedonia,0.2354285349383085,6.107564725639194,-0.5471750449777923,1.214148849364495,-7.861428569436967
Pakistan,-2.219608373722913,-21.905528004911453,1.3348395981002064,-1.6942021288480529,24.525499828664337
Panama,3.6496826570084675,-1.8611452549590677,2.671544127492269,2.4701894050729045,2.7908511260473086
Paraguay,-1.725832438776001,-12.987199349433215,-0.8268701025205818,-0.3911950459339373,14.561804722457929
Peru,1.0128965983099247,5.063182105946675,1.7687479799462942,-0.5127824582539189,0.2609365698020216
Philippines,-1.5505719366345825,0.8986633495063718,0.3210633709316282,-0.25759956964611497,0.828592540949156
Poland,-0.5323052717135983,8.181835018274997,1.271035822067807,-0.31112491793683805,-8.287902683454178
Portugal,-0.23879262563538806,10.97359293704735,-0.2398840571506149,1.9536110531362558,-12.96787485654554
Romania,-0.5419177620327567,9.039553257717326,-1.143075229170396,0.602134007034985,-7.327011298828478
Russian Federation,2.565651995139479,3.804152254951884,0.06401735974281131,1.5027992297001687,-8.266078926922003
Saudi Arabia,2.38284148958686,2.962117620857727,-0.17332245377836486,1.0913720252183827,-8.511515969463893
Senegal,-1.9885765912702809,-6.2180309056918635,-0.6581182496903608,-1.395408921820957,11.071126203898196
Serbia,2.7692032098467783,4.056600654816881,0.4756059984330401,1.7380127380008243,-7.476371000393004
Sierra Leone,-4.330417332750127,-9.908184844241767,-1.5317815458615325,-4.32276690834701,17.832033385526685
Singapore,-0.07211052754665204,8.821118432621589,-0.039964338597128446,4.143117601415543,-10.488769926800813
Slovak Republic,1.9212752989209623,6.448324767880854,-0.021893409244656326,0.4710392989286798,-11.044575115329348
Slovenia,4.308418340062938,4.452942410987005,0.09850720973003746,3.405784818900962,-9.555744987348262
South Africa,0.5836481876691373,2.4360299575100157,-0.3539852861379864,2.1947336767928984,-5.388339219842385
Spain,3.8187989067343917,2.534083557922867,-0.5158481456992425,2.5279793331117375,-8.67644639175085
Sri Lanka,-0.11033608681753604,5.758912643006477,2.8104472760164523,-3.6138454154572415,-6.563286673620447
Switzerland,1.1577474093276532,-1.5609934185842078,0.6119806930024014,2.640533819739475,-4.759164610156478
Tajikistan,-1.1686439846730812,-5.038902698906464,1.5831108265800635,-1.172257146502898,10.026755873440617
Tanzania,-1.0625567446954065,-11.571278736536312,-0.6164101794927497,-1.369885493651993,13.929644500276737
Thailand,1.6580878116377318,0.6288101430090443,-0.7428951734232434,2.2943515871726543,-7.323418097182486
Togo,-2.711965180825902,-8.838800900006618,-0.8462607903643242,-1.3637198343570338,13.730954730244541
Tunisia,-1.6278159041312072,-3.3553318519777795,-0.7662094965960149,-1.6657936894256156,5.465585172107883
Uganda,-2.1935836919839353,-0.2775430524971787,-0.20123291666262944,-1.0499462548673943,1.641856648726395
Ukraine,-0.05999621960305257,4.520613810410119,-0.4460634625974742,1.2734150576640695,-7.511427061351945
United Kingdom,0.674204689769355,2.018729323002499,0.1105193241093061,3.1171779588336994,-4.201077067615018
United States,2.431803163011926,-0.26456692841067664,0.9290237759778268,2.3908473672652537,-5.202965505634277
Uruguay,2.263500744442938,4.7111019141131045,-0.29504031966232613,1.4090810809960583,-8.87523039520725
Uzbekistan,4.807735966792375,-3.6073096698849505,1.0720934792271983,0.661151579157039,-0.7834735689641956
West Bank and Gaza,-0.11005575309550153,-6.295075673992134,-0.050677491827936016,-0.7284272248733714,8.649793358783393
Zambia,-3.2150530283811953,-5.583152833641351,-0.5374384303433954,-1.9934225804875165,10.087499298698788
Zimbabwe,-1.8997305862131002,-5.713495163399929,-0.17115798408851735,-1.0235352073804664,8.926200614839829
