Country Name,"Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Sri Lanka,-1.2942113202253664,5.646219537295911,2.931573334462989,-4.21739719958688,-4.6673541713354405
Switzerland,4.103927552590861,3.1464211118316445,-2.0465348766022546,4.101113891185277,-10.938640508424992
Tajikistan,-1.5159237277853759,-6.841854440345495,2.1001773707862146,-3.9809762940512563,14.55705760280279
Tanzania,-2.0784219691688257,-13.0365627907224,0.46719810855364763,-1.9748108341140167,15.410820398751511
Thailand,-2.0436669258797764,4.216092030801441,-1.8286044021211565,1.7946313563669618,-6.047484876092012
Togo,-0.7622134392845226,-10.86523198937914,-0.8892596568429258,-2.269503354562051,14.939171880751566
Tunisia,-1.4837473441966145,-5.665579995949943,-0.1751790181645223,-1.9905005178582815,7.328419009251493
Uganda,-1.5273846634092645,-3.2826464308364085,-0.5100067962456238,-1.036937695336209,4.330278457399205
Ukraine,-1.678220624739304,5.160848548959683,-1.233856885165391,1.8737034111973205,-6.114288018496447
United Kingdom,8.631212131607771,3.1923490767083837,1.3384704012275428,3.785349836234488,-14.787982581050954
United States,1.5411697767521169,3.712573714025541,0.4251068619678797,0.8412651259633468,-6.2200437017581
Uruguay,-1.5573137635155945,6.024299362510344,-0.4280307204292284,0.49323422815817985,-5.501322827407974
Uzbekistan,3.612463711776857,-4.984046772259495,0.6716051313751946,-0.21006562242302668,3.051322478503206
West Bank and Gaza,-0.8923142200349155,-8.607496876661191,1.285007327116423,-0.5973864818489196,10.435155493722647
Zambia,-1.225154332187012,-8.648972291347434,-0.6003866093029266,-1.9593696828847351,10.460009775436873
Zimbabwe,-0.08859483475995766,-7.616913641151127,0.8679684292006318,-1.1668521306189197,8.47678446310372
