Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all (% age 15+),Worried about not being able to pay school fees or fees for education: not worried at all (% age 15+),Worried about not having enough money for old age: not worried at all (% age 15+),Worried about not having enough money for monthly expenses or bills: not worried at all (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, richest 60% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: worried, richest (% age 15+)","Worried about not having enough money for old age: worried, poorest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, richest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, poorest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, richest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, poorest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, richest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, poorest (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+)
Mauritius,-0.036361023450663194,0.11619002017512685,-0.11248348690249259,-0.03496274572757102,0.027164598712261068,-0.10804065201271441,-0.27306312670418265,0.23665758230170467,-0.24956032230547862,-0.07134330766664788,0.029602603159437423,-0.25231373477708985,0.08143894687360444,0.5345072905727739,-0.03902802279111711,0.03342219769307121,-0.13222546090584728,0.04764363266369401,-0.1834458895226271,-0.020502069649846816,0.114068361530517,-0.011526395219316327,-0.03132974372070749,0.003393098767683114
Moldova,0.09011862676677992,0.07557062465173658,-0.05838879802726296,0.19643894429307693,0.08615251450512006,0.37468642406445724,0.32727213985175696,0.31802772631681364,-0.02257611134300532,-0.0055845277219759735,0.02722725947329309,1.4198853681362016,0.10844745445268927,0.5595989403637941,0.21211824914775207,-0.09525715284995386,0.39178531470905,0.11062997825638377,0.24353542560922506,0.2378334884740616,0.15794943425298696,0.09038659686361371,0.0700176000162901,0.37905223215246225
Mongolia,0.04190151705106473,0.08395406135547091,-0.09566129254761108,0.15794217242404557,-0.0001065305772863212,0.2372817235180264,-0.225149832005618,0.15614646803966026,-1.3785125044290907,-0.16614607388322383,-0.011502995093760546,-0.22261343255908286,0.06629629523617041,-1.1426533273303539,0.16118986908175428,0.1607913349370574,-0.15190529879204406,0.07620543663764692,-0.048379810725236894,-0.08518084675335558,-0.2247539905256781,0.19342473337356864,-0.009691678211893304,-0.021981439113169472
Morocco,-0.09272174687270308,0.13971466581606365,-0.21219432119025441,0.046727467209784664,-0.05731627179098723,-0.10743347875057224,-0.20077775990335794,-0.10289994809791096,-0.15952176118385977,-0.06748938067317795,0.04434051149444713,-0.6386813036604144,0.025866659066414287,0.6528627434695955,0.036814550104209046,0.06086293805754394,-0.08381882264158776,0.11185290183761026,-0.2771102124574827,-0.1390208551835167,0.15822214284838992,-0.07936664480055697,0.035428769415348144,-0.021579032254157936
Mozambique,-0.03546977996287751,-0.46336080703411425,0.020728379541560572,0.03136339412536472,-0.07567169572314014,-0.08315549441114854,-0.366465563261645,-1.1481055255356478,-0.1659420967187907,-0.11667396390280828,-0.06913266931915132,0.6123031464684027,0.05761312999718939,0.43663607817627964,0.03588063370179952,-0.12549777432235715,0.36978380483667933,0.05162943785477182,-0.307644988194952,-0.0024564360233671322,0.09328719064607867,-0.11307898750485833,-0.09412954476258165,-0.20335211352119587
Myanmar,-0.3068450660660892,0.08979482552040281,-0.1348904468820183,-0.17984120383958724,-0.30936001089399723,-0.41851483217098573,-0.02935400069733987,0.12637505777522165,-1.854780396713686,-0.2452954303288061,-0.003121610523812706,-0.610063966234884,0.07665041256383119,-7.37952837829609,-0.11835316663597041,-0.3432389196917211,-0.11108567555722403,-0.01596347432485345,-0.39687805126886816,-0.30795590609443024,-1.1581299687743012,-0.3445203532609776,0.05258488774839862,-0.10918271551729049
Namibia,-0.01562305538347573,-0.29992105168334093,-0.10920720226102276,0.020130293624861226,-0.04105660225312022,-0.12703972899133079,-0.37710176871289147,-0.3491206823579705,-0.22286438983333937,-0.09281968528594006,-0.09666120504247373,-0.47778020256431775,0.022348819097787784,0.4120378968810837,-0.03808747326151206,-0.06583563375130325,0.08392645601448749,0.028526948099734,-0.39363494951860045,-0.08788178356249773,0.10750516336862347,-0.06642219163454001,-0.049012891062538984,-0.13080724243634903
Nepal,-0.002557493742206134,0.07717831367488542,-0.11804407169394836,0.008905266961010056,0.08093321732576442,-0.08468453447283536,-0.03632166784027504,0.22391172456656933,-0.34906706047666375,-0.10796223294764787,0.01743156173528405,-0.3333871425232428,0.02851285053686297,0.20374520461904466,0.11878713287929714,-0.016168670937622663,-0.11553146733738685,0.013412124065962417,-0.3384419232915388,-0.1455293565829925,0.08748985518912378,0.06849361080237941,0.029094825478532583,-0.013913115535469842
Netherlands,-0.11197599736247867,-0.1297358570628421,0.06887071755648322,-0.11096892776425647,-0.06954610116192271,-0.19448020646166242,0.20068147500012856,-0.08441553835658851,1.3044860283097295,0.04707369896822456,0.004340477057403405,-0.20163632053987385,-0.3438444472133415,0.8713581113941654,-0.4760012203987935,-0.2651810437857057,-0.1959528362218771,-0.1987815070965644,0.08823456614212773,-0.014628972237096605,0.10880907137970099,-0.23323730783527935,-0.057177098085121544,-0.28493989665708797
New Zealand,-0.1033670206797433,-0.18639324179213873,0.08095137033523316,-0.1706509292743749,-0.09724173978172984,-0.2163855948553055,0.18090404961076273,-0.042471315765760666,0.9561937567107452,0.12257659818332285,-0.03735204772683574,-0.22672203956379236,-0.29011278979047345,0.6158657811239755,-0.39374662283391443,-0.18721480547028477,-0.20742579333862524,-0.21774602635696283,0.11800322230177698,0.039149169457887184,0.10466261749053046,-0.22503641857389084,-0.047736397211047006,-0.2626570094634371
