Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)",gdp
"Hong Kong SAR, China",0.4819403290748596,0.42658835649490356,0.5650947690010071,0.6671620309352875,0.6506612598896027,0.6919509172439575,0.5992704629898071,0.5928412973880768,0.608928918838501,0.37726420164108276,0.30106955766677856,0.491730272769928,6.418471097650922
Hungary,0.3307459354400635,0.2538442611694336,0.4465280771255493,0.5738228857517242,0.5177501440048218,0.6582452654838562,0.5712638199329376,0.5203728079795837,0.6478846371173859,0.6563579738140106,0.6221429705619812,0.7078716456890106,7.096612232256817
Iceland,0.29033368825912476,0.23037081956863403,0.3822718858718872,0.3719525933265686,0.3448803424835205,0.41346120834350586,0.4775245785713196,0.41938138008117676,0.5666727423667908,0.2351817488670349,0.19803005456924438,0.29214465618133545,3.6997924007097396
India,0.8289983123540878,0.7689929306507111,0.919190064072609,0.8448838144540787,0.8015966564416885,0.9099470600485802,0.816118597984314,0.760254830121994,0.9000852555036545,0.7535732388496399,0.6858030259609222,0.8554359823465347,8.947962669215144
Indonesia,0.8216138184070587,0.7857387661933899,0.8755100220441818,0.8782879337668419,0.8461720496416092,0.9265366047620773,0.8637964874505997,0.848808765411377,0.8863129913806915,0.7639173865318298,0.7246263921260834,0.8229454606771469,3.69124011191289
Iraq,0.7018927335739136,0.654912680387497,0.7724241763353348,0.7984746098518372,0.7616940140724182,0.8536935895681381,0.7107817828655243,0.690813422203064,0.7407604455947876,0.5781488418579102,0.5460538268089294,0.6263332962989807,2.7833354353322193
Ireland,0.26170527935028076,0.23596489429473877,0.30049455165863037,0.37477564811706543,0.39206528663635254,0.3487212061882019,0.46671825647354126,0.49441856145858765,0.4249753952026367,0.3140524625778198,0.29584574699401855,0.3414888381958008,13.47865800858375
Israel,0.4001103639602661,0.3265123963356018,0.5107554793357849,0.4907383918762207,0.4609016180038452,0.5355941951274872,0.44613444805145264,0.4051837921142578,0.5076984465122223,0.5194542407989502,0.49699902534484863,0.5532127916812897,8.188040458949303
Italy,0.297901451587677,0.2568008303642273,0.35978466272354126,0.5166490375995636,0.5019746124744415,0.5387435853481293,0.5935019254684448,0.5874557495117188,0.6026053428649902,0.3962365388870239,0.37571197748184204,0.42713940143585205,6.643790189661928
Jamaica,0.6499918699264526,0.6259453296661377,0.6860869824886322,0.7181426882743835,0.6986868679523468,0.7473469376564026,0.6711066365242004,0.6414917409420013,0.7155601978302002,0.648535966873169,0.6460515558719635,0.652265191078186,4.6000000000000085
Japan,0.5130921900272369,0.4389495253562927,0.6245481967926025,0.753332331776619,0.7319833934307098,0.785425454378128,0.823327049612999,0.8086683005094528,0.8453630208969116,0.536443829536438,0.48849546909332275,0.6085228323936462,1.6207955254130297
Jordan,0.7893470227718353,0.7155568599700928,0.9001385420560837,0.7905153632164001,0.7576912492513657,0.8397988080978394,0.7592950016260147,0.7166445255279541,0.8233321607112885,0.7808808833360672,0.7535952776670456,0.8218485862016678,2.2097647710103985
Kazakhstan,0.6993265450000763,0.6589831411838531,0.7602744847536087,0.7825603038072586,0.7932990789413452,0.7663369029760361,0.6946035623550415,0.6912413835525513,0.699682891368866,0.5612556338310242,0.5761045217514038,0.5388230383396149,4.000000000083247
Kenya,0.8172805309295654,0.811692550778389,0.8256684839725494,0.8715032637119293,0.8583649843931198,0.8912247270345688,0.8110617995262146,0.7948364764451981,0.8354171216487885,0.8246568590402603,0.7966208755970001,0.8667407780885696,7.517355387038862
"Korea, Rep.",0.49140238761901855,0.3935942053794861,0.6386457979679108,0.7190711498260498,0.6793192327022552,0.7789149284362793,0.7812827974557877,0.7647762894630432,0.8061322122812271,0.5509583055973053,0.48960673809051514,0.6433188915252686,4.0211584734580725
Kosovo,0.7117407619953156,0.6131483614444733,0.8597023487091064,0.8644910901784897,0.8149918168783188,0.9387766234576702,0.7740357518196106,0.7182055711746216,0.8578223437070847,0.6635168492794037,0.5785174071788788,0.7910789251327515,9.12757763607948
Kyrgyz Republic,0.564355880022049,0.5165266990661621,0.636214405298233,0.7475062310695648,0.7282777428627014,0.7763951271772385,0.5814211368560791,0.5534336864948273,0.6234694123268127,0.5557422041893005,0.4952247142791748,0.646663635969162,3.610612695470053
