Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)"
Czech Republic,3.1235647857690894,0.1025836327516354,0.7020325308008692,0.6202814817329414,0.1759493871386577,0.3328179960447777,-0.9642050768466621,-2.453942841750859,1.794061028218449,4.275377190042623,-0.8017173586048143,5.928263056279811
Dominican Republic,-0.7574938440848675,0.3880244490601317,1.6336616758177782,1.1609515025062498,0.23963698893677154,0.6889869811575062,1.5615118775037375,2.055132577771224,0.3414150295628602,0.8023082863562534,2.0006936865117027,0.3205805435518192
Ecuador,-3.0775450067542107,-1.2099019555035233,-1.4686954633319276,-0.8303249221813411,-0.6912229016329585,-2.1397545174496297,-0.7678059719233664,1.2323555261224788,-2.4883992925673035,-1.7267937139231055,-0.16075712234013229,-1.532095863267228
"Egypt, Arab Rep.",-2.2453933157949537,0.16860335703344465,-0.073546088598758,-0.10844245066585456,0.17874256821693013,0.24587841134008492,2.5540409257799217,2.151925181127569,-0.003271658745295891,1.1563612719521972,1.1078956192947276,2.3607348373058836
El Salvador,-1.482147472531195,0.44961782314749477,1.383841214291317,0.13370018304750708,1.5849560439964527,-0.07134771804098872,2.3594528863647697,1.1477398970226496,-0.9562862605085343,-1.2856478578758521,0.5924103271865713,1.0284023120193124
Estonia,5.451465838623278,0.49977569006893585,1.2926741633106964,0.4284204290885585,0.4409156570182109,0.7994602125528862,3.115267334912991,-0.07855821173353306,8.20698909446251,1.499776903445567,-0.9405153974400156,3.80708977798665
France,6.814144996986416,2.0715194504448635,2.7696913637739455,7.872870272669377,3.5766878078201483,8.28804158536812,1.612674000837453,1.33127151590259,5.406908010436445,2.3135809018906848,-0.40172103805793524,4.1071124242385695
Gabon,-2.6218827201098343,-0.7508325762057398,-3.320123932392645,-1.006818021381953,0.8506961552720886,-2.648564952426626,0.8625333885372131,0.6551635933902369,-3.124405667140001,-2.4660839156905157,-1.5971893434188873,-4.074304359801304
Georgia,-2.011413463521116,-0.36439396106266697,-0.9753768606062831,0.9621280912851633,0.3531155629666447,0.041158596450724616,0.9946710219281547,2.3682550664706445,0.841365291143279,2.1876412668617844,5.146543982531319,0.385333093980182
Germany,4.757592067920207,0.6475679976617155,0.819924729742163,1.4438242730487283,0.5352862365192133,3.32997830389252,-1.3331318491486126,-1.1411885940995772,1.468574537903978,-2.8230696484538766,-3.180126653454649,-0.003840925532245354
